category,2012,2016,2017
All workers,66,68,72
Full time,79,80,84
Part time,25,31,36
,,,
Lowest 25 percent,32,41,46
Highest 25 percent,87,87,91
,,,
New England,70,68,73
Middle Atlantic,69,71,74
South Atlantic,65,66,70
East South Central,65,68,70
West South Central,67,66,70
East North Central,62,63,67
West North Central,64,65,68
Mountain,61,61,65
Pacific,67,76,83
