,Male: 16-24: LTHS,Male: 16-24: HS,Male: 16-24: Some college,Male: 16-24: College,Male: 16-24: Advanced,Male: 25-34: LTHS,Male: 25-34: HS,Male: 25-34: Some college,Male: 25-34: College,Male: 25-34: Advanced,Male: 35-44: LTHS,Male: 35-44: HS,Male: 35-44: Some college,Male: 35-44: College,Male: 35-44: Advanced,Male: 45-54: LTHS,Male: 45-54: HS,Male: 45-54: Some college,Male: 45-54: College,Male: 45-54: Advanced,Male: 55-64: LTHS,Male: 55-64: HS,Male: 55-64: Some college,Male: 55-64: College,Male: 55-64: Advanced,Male: 65+: LTHS,Male: 65+: HS,Male: 65+: Some college,Male: 65+: College,Male: 65+: Advanced,Female: 16-24: LTHS,Female: 16-24: HS,Female: 16-24: Some college,Female: 16-24: College,Female: 16-24: Advanced,Female: 25-34: LTHS,Female: 25-34: HS,Female: 25-34: Some college,Female: 25-34: College,Female: 25-34: Advanced,Female: 35-44: LTHS,Female: 35-44: HS,Female: 35-44: Some college,Female: 35-44: College,Female: 35-44: Advanced,Female: 45-54: LTHS,Female: 45-54: HS,Female: 45-54: Some college,Female: 45-54: College,Female: 45-54: Advanced,Female: 55-64: LTHS,Female: 55-64: HS,Female: 55-64: Some college,Female: 55-64: College,Female: 55-64: Advanced,Female: 65+: LTHS,Female: 65+: HS,Female: 65+: Some college,Female: 65+: College,Female: 65+: Advanced
1980,0.496356099844,0.80950564146,0.63429826498,0.823982059956,0.548307657242,0.800396621227,0.881384909153,0.901606321335,0.951155662537,0.916115641594,0.825347423553,0.922432720661,0.931434512138,0.970813751221,0.975483179092,0.795777142048,0.902737557888,0.916944742203,0.955211222172,0.963710784912,0.597416460514,0.741347849369,0.755849421024,0.834664821625,0.861379623413,0.146107420325,0.213861376047,0.237154453993,0.282642900944,0.415484428406,0.345007717609,0.648689568043,0.615055203438,0.815888047218,0.681820094585,0.400821566582,0.585812449455,0.655938148499,0.724720478058,0.810597598553,0.482974231243,0.639295876026,0.672360122204,0.678596675396,0.812378883362,0.455549329519,0.59802365303,0.643607676029,0.670447349548,0.837300717831,0.310139834881,0.441305667162,0.481215924025,0.488937020302,0.647996425629,0.0604686290026,0.107087679207,0.108461357653,0.101480424404,0.159976288676
1981,0.471433073282,0.791191101074,0.62865114212,0.82231169939,0.610655069351,0.783375620842,0.880032360554,0.892753243446,0.940416991711,0.914135038853,0.82335215807,0.910812854767,0.931522846222,0.969453215599,0.970116257668,0.785809636116,0.895648539066,0.908042490482,0.95609164238,0.96346527338,0.579943358898,0.706259250641,0.743938565254,0.816589474678,0.841143667698,0.13703379035,0.203419744968,0.246182456613,0.263211280107,0.385655939579,0.329355239868,0.644571602345,0.60838663578,0.822092652321,0.611855566502,0.396732807159,0.596048653126,0.667242884636,0.737441658974,0.800955891609,0.480666935444,0.646990358829,0.686417400837,0.681439697742,0.815900862217,0.460929632187,0.611233711243,0.65651512146,0.67536085844,0.838027477264,0.306734293699,0.436049610376,0.472869634628,0.477988690138,0.648653864861,0.0587560161948,0.100837379694,0.101499609649,0.0931802913547,0.173009440303
1982,0.426736563444,0.750776588917,0.60552418232,0.797438144684,0.5339012146,0.728381931782,0.842660665512,0.861901581287,0.93232190609,0.900656104088,0.771243453026,0.88041138649,0.909388303757,0.957458913326,0.969410836697,0.772633969784,0.875411689281,0.885386705399,0.941595613956,0.959392607212,0.566126286983,0.676603853703,0.724716722965,0.808328211308,0.847480595112,0.129005819559,0.191473960876,0.225720867515,0.271545082331,0.374802649021,0.32077652216,0.619551479816,0.602335572243,0.818541586399,0.570547103882,0.37888815999,0.587590694427,0.673757314682,0.756210684776,0.799039006233,0.468128740788,0.642151474953,0.696280300617,0.696585118771,0.807010293007,0.437649071217,0.608641564846,0.646406531334,0.69344830513,0.856496572495,0.301472425461,0.422885090113,0.474255234003,0.498931735754,0.667773365974,0.0550286099315,0.102494575083,0.110198825598,0.0888513177633,0.178484857082
1983,0.420724898577,0.756251990795,0.620062887669,0.805597603321,0.646794378757,0.728907883167,0.836419284344,0.864997029305,0.92861109972,0.891930758953,0.768760561943,0.875027120113,0.902620613575,0.947589039803,0.966826498508,0.753470718861,0.862788140774,0.883544802666,0.929181694984,0.96615165472,0.553481638432,0.657254219055,0.69044315815,0.799593031406,0.839912772179,0.120048828423,0.184873238206,0.224301248789,0.291652321815,0.372633695602,0.30149191618,0.615305542946,0.608276307583,0.830419778824,0.615612208843,0.368650913239,0.598476707935,0.682366192341,0.76933324337,0.814293146133,0.464664965868,0.64748775959,0.69851565361,0.712554812431,0.813584625721,0.437621951103,0.603342175484,0.657215774059,0.690298140049,0.843016803265,0.301187813282,0.422772973776,0.46161210537,0.487819939852,0.697133719921,0.0546798855066,0.0951313003898,0.113749906421,0.0910760909319,0.158386006951
1984,0.447877347469,0.803078174591,0.638517916203,0.798628091812,0.566704392433,0.758678972721,0.87514603138,0.892612576485,0.943569540977,0.899264752865,0.799129903316,0.898012459278,0.92361587286,0.961186945438,0.96674323082,0.774239659309,0.877979338169,0.896743655205,0.944418430328,0.964897930622,0.553795456886,0.654622197151,0.696451663971,0.776241660118,0.849324822426,0.112188987434,0.171399861574,0.215479150414,0.269014328718,0.380669772625,0.332325488329,0.64507073164,0.623896002769,0.826062500477,0.595048606396,0.401165187359,0.621611297131,0.692009687424,0.784246683121,0.830209493637,0.476729333401,0.667401194572,0.71835064888,0.723443925381,0.849703550339,0.439229041338,0.619749844074,0.673929333687,0.700986683369,0.851533591747,0.312413662672,0.417993456125,0.452776908875,0.512132585049,0.661151885986,0.0521849915385,0.0909088626504,0.101778842509,0.101744748652,0.13944350183
1985,0.461117267609,0.800038874149,0.650314688683,0.810756802559,0.525906860828,0.769123256207,0.885793328285,0.904310047626,0.944142401218,0.896402478218,0.783660829067,0.896317303181,0.917789459229,0.960214436054,0.969270050526,0.748315811157,0.88196182251,0.904248476028,0.949761331081,0.964099884033,0.556575894356,0.658914744854,0.679469704628,0.763766467571,0.819360136986,0.101846255362,0.171900182962,0.202672541142,0.219453170896,0.368152499199,0.335283577442,0.652459979057,0.640712201595,0.845534205437,0.588774204254,0.397591203451,0.633384883404,0.698820650578,0.80476129055,0.823449909687,0.490987569094,0.678370952606,0.723415136337,0.736771166325,0.843056440353,0.446316003799,0.62538164854,0.694705307484,0.734751522541,0.858318328857,0.30730587244,0.415093511343,0.488359838724,0.487394303083,0.693765640259,0.0495601706207,0.0836401060224,0.10314489156,0.10098515451,0.153862044215
1986,0.462017029524,0.807676196098,0.650354027748,0.844282448292,0.600635409355,0.762245178223,0.885130345821,0.898379087448,0.949425816536,0.900676906109,0.770612955093,0.893665552139,0.914865016937,0.953246474266,0.959482133389,0.758246600628,0.882225453854,0.904044806957,0.94094479084,0.952200114727,0.539029657841,0.656402528286,0.673391759396,0.767482697964,0.822458326817,0.1055104509,0.176503568888,0.210794642568,0.218258857727,0.299954801798,0.344692468643,0.662273466587,0.643718481064,0.842933356762,0.647686481476,0.401177108288,0.640720307827,0.710697889328,0.806891977787,0.825608253479,0.499456942081,0.698199987411,0.740891754627,0.752026021481,0.851004064083,0.467309087515,0.639422535896,0.701164364815,0.759479880333,0.866752386093,0.295546889305,0.425092756748,0.490079730749,0.50120228529,0.719567000866,0.0476619265974,0.0871792212129,0.108734712005,0.105234093964,0.166207194328
1987,0.458781391382,0.822700917721,0.652556419373,0.852310359478,0.589681148529,0.788681328297,0.897973895073,0.901217162609,0.946386218071,0.899534106255,0.779834091663,0.898641943932,0.91340303421,0.957270383835,0.966995477676,0.751944482327,0.880407035351,0.901183307171,0.940051555634,0.953175723553,0.551897644997,0.655539214611,0.683487474918,0.758780062199,0.823345959187,0.109238229692,0.175936415792,0.209308713675,0.226580142975,0.317785054445,0.362730205059,0.670481324196,0.657208859921,0.857877790928,0.647805452347,0.433190375566,0.657879114151,0.723004877567,0.810936748981,0.827126801014,0.516689360142,0.707296788692,0.752063572407,0.775660872459,0.866062760353,0.464255213737,0.655571818352,0.728574693203,0.757146418095,0.88089120388,0.301945358515,0.43045642972,0.490065664053,0.516538500786,0.674635887146,0.0498014762998,0.089914649725,0.100330755115,0.0917818397284,0.172211959958
1988,0.477618575096,0.829514563084,0.662274122238,0.854507684708,0.646584928036,0.783726036549,0.898308217525,0.906442463398,0.95017015934,0.926676511765,0.79172283411,0.898249804974,0.919736385345,0.958710134029,0.969522714615,0.757700383663,0.887495398521,0.912567913532,0.932864129543,0.964717268944,0.543089449406,0.648402154446,0.696354210377,0.742948114872,0.832945346832,0.109267026186,0.166939258575,0.208082154393,0.25085234642,0.337798297405,0.370543837547,0.672069728374,0.665055632591,0.852208375931,0.719683885574,0.442396879196,0.661927580833,0.732180118561,0.816341817379,0.81410330534,0.505494177341,0.713105738163,0.76565772295,0.784034132957,0.865370333195,0.482554167509,0.674183726311,0.738996803761,0.790463089943,0.881130099297,0.315110117197,0.440117269754,0.494775831699,0.534834980965,0.634615421295,0.0520240738988,0.0914806947112,0.107019774616,0.101714119315,0.14773657918
1989,0.48756852746,0.819705784321,0.676171541214,0.831466019154,0.649580717087,0.813223421574,0.901699066162,0.917220175266,0.955232977867,0.913773179054,0.790062904358,0.899573385715,0.922623574734,0.958582401276,0.966063261032,0.76756131649,0.887205481529,0.912212431431,0.929933607578,0.960591673851,0.529649972916,0.657178163528,0.697721064091,0.742480933666,0.826633691788,0.111133143306,0.17133513093,0.203323662281,0.242451578379,0.337085396051,0.375618487597,0.669961333275,0.651991128922,0.855010151863,0.741123020649,0.442209362984,0.672105789185,0.739816784859,0.812731802464,0.819349586964,0.528065681458,0.728441894054,0.770711183548,0.782361149788,0.869389772415,0.483748227358,0.690509855747,0.751702845097,0.777085483074,0.885603308678,0.318294286728,0.457545846701,0.526135623455,0.524237453938,0.679021060467,0.055061224848,0.092420488596,0.113274350762,0.113771885633,0.151645392179
