fips_county,gov,state,county,pop
20075,Republican,KS,"Hamilton County, Kansas",2536
20049,Republican,KS,"Elk County, Kansas",2547
20153,Republican,KS,"Rawlins County, Kansas",2549
38075,Republican,ND,"Renville County, North Dakota",2550
20065,Republican,KS,"Graham County, Kansas",2564
20063,Republican,KS,"Gove County, Kansas",2589
13307,Republican,GA,"Webster County, Georgia",2599
31063,Republican,NE,"Frontier County, Nebraska",2621
38041,Republican,ND,"Hettinger County, North Dakota",2629
31133,Republican,NE,"Pawnee County, Nebraska",2652
38051,Republican,ND,"McIntosh County, North Dakota",2656
20023,Republican,KS,"Cheyenne County, Kansas",2661
20017,Republican,KS,"Chase County, Kansas",2669
49055,Republican,UT,"Wayne County, Utah",2702
40057,Republican,OK,"Harmon County, Oklahoma",2704
46003,Republican,SD,"Aurora County, South Dakota",2736
46137,Republican,SD,"Ziebach County, South Dakota",2801
31087,Republican,NE,"Hitchcock County, Nebraska",2825
20109,Republican,KS,"Logan County, Kansas",2831
20039,Republican,KS,"Decatur County, Kansas",2832
20129,Republican,KS,"Morton County, Kansas",2848
20195,Republican,KS,"Trego County, Kansas",2872
48079,Republican,TX,"Cochran County, Texas",2882
31135,Republican,NE,"Perkins County, Nebraska",2898
20089,Republican,KS,"Jewell County, Kansas",2901
46043,Republican,SD,"Douglas County, South Dakota",2932
20047,Republican,KS,"Edwards County, Kansas",2938
38063,Republican,ND,"Nelson County, North Dakota",2960
31017,Republican,NE,"Brown County, Nebraska",2960
20135,Republican,KS,"Ness County, Kansas",2962
46105,Republican,SD,"Perkins County, South Dakota",2983
46117,Republican,SD,"Stanley County, South Dakota",2993
13125,Republican,GA,"Glascock County, Georgia",3006
31061,Republican,NE,"Franklin County, Nebraska",3014
48087,Republican,TX,"Collingsworth County, Texas",3016
13061,Republican,GA,"Clay County, Georgia",3020
31163,Republican,NE,"Sherman County, Nebraska",3054
48413,Republican,TX,"Schleicher County, Texas",3056
20165,Republican,KS,"Rush County, Kansas",3058
48421,Republican,TX,"Sherman County, Texas",3068
20105,Republican,KS,"Lincoln County, Kansas",3073
