date,value
2004-03-01,74.7
2004-04-01,74.5
2004-05-01,76.0
2004-06-01,75.0
2004-07-01,74.8
2004-08-01,76.0
2004-09-01,76.9
2004-10-01,78.2
2004-11-01,76.7
2004-12-01,74.7
2005-01-01,76.5
2005-02-01,76.3
2005-03-01,77.5
2005-04-01,77.0
2005-05-01,77.4
2005-06-01,78.4
2005-07-01,80.4
2005-08-01,80.4
2005-09-01,79.5
2005-10-01,79.8
2005-11-01,80.4
2005-12-01,80.4
2006-01-01,81.2
2006-02-01,81.3
2006-03-01,81.8
2006-04-01,82.8
2006-05-01,81.0
2006-06-01,81.4
2006-07-01,82.4
2006-08-01,81.0
2006-09-01,80.0
2006-10-01,80.0
2006-11-01,79.8
2006-12-01,79.6
2007-01-01,78.2
2007-02-01,78.7
2007-03-01,80.7
2007-04-01,80.0
2007-05-01,81.1
2007-06-01,80.6
2007-07-01,80.6
2007-08-01,80.6
2007-09-01,81.5
2007-10-01,82.0
2007-11-01,83.3
2007-12-01,84.8
2008-01-01,86.8
2008-02-01,88.0
2008-03-01,89.7
2008-04-01,91.5
2008-05-01,93.3
2008-06-01,94.9
2008-07-01,95.3
2008-08-01,94.9
2008-09-01,95.1
2008-10-01,93.3
2008-11-01,93.7
2008-12-01,94.3
2009-01-01,95.2
2009-02-01,94.6
2009-03-01,96.1
2009-04-01,94.5
2009-05-01,94.0
2009-06-01,92.7
2009-07-01,92.4
2009-08-01,93.6
2009-09-01,94.6
2009-10-01,96.0
2009-11-01,95.3
2009-12-01,95.9
2010-01-01,96.5
2010-02-01,97.3
2010-03-01,100.3
2010-04-01,100.1
2010-05-01,100.8
2010-06-01,99.5
2010-07-01,99.2
2010-08-01,98.7
2010-09-01,99.9
2010-10-01,101.5
2010-11-01,101.2
2010-12-01,104.6
2011-01-01,104.5
2011-02-01,104.6
2011-03-01,107.1
2011-04-01,108.5
2011-05-01,108.2
2011-06-01,109.2
2011-07-01,110.0
2011-08-01,109.2
2011-09-01,110.8
2011-10-01,110.2
2011-11-01,109.9
2011-12-01,109.0
2012-01-01,109.9
2012-02-01,110.5
2012-03-01,111.4
2012-04-01,109.8
2012-05-01,108.4
2012-06-01,107.6
2012-07-01,107.3
2012-08-01,107.8
2012-09-01,107.2
2012-10-01,107.8
2012-11-01,108.0
2012-12-01,107.7
2013-01-01,108.8
2013-02-01,111.3
2013-03-01,111.2
2013-04-01,109.6
2013-05-01,108.9
2013-06-01,108.0
2013-07-01,109.7
2013-08-01,108.6
2013-09-01,107.6
2013-10-01,107.5
2013-11-01,106.7
2013-12-01,106.3
2014-01-01,106.0
2014-02-01,105.3
2014-03-01,105.5
2014-04-01,104.8
2014-05-01,104.5
2014-06-01,104.9
2014-07-01,104.1
2014-08-01,103.8
2014-09-01,104.0
2014-10-01,103.6
2014-11-01,103.5
2014-12-01,101.6
2015-01-01,100.2
2015-02-01,99.2
2015-03-01,100.0
2015-04-01,100.3
2015-05-01,99.7
2015-06-01,98.7
2015-07-01,97.8
2015-08-01,97.3
2015-09-01,97.9
2015-10-01,97.2
2015-11-01,95.5
2015-12-01,96.7
2016-01-01,96.8
2016-02-01,97.5
2016-03-01,98.4
2016-04-01,99.5
2016-05-01,98.7
2016-06-01,100.4
2016-07-01,103.5
2016-08-01,103.5
2016-09-01,103.2
2016-10-01,106.6
2016-11-01,105.8
2016-12-01,105.9
2017-01-01,108.5
2017-02-01,
2017-03-01,
2017-04-01,
2017-05-01,
2017-06-01,
2017-07-01,
2017-08-01,
2017-09-01,
2017-10-01,
2017-11-01,
2017-12-01,
