Country Code,Country Name,2014,values,bin
AGO,Angola,28449577000.0,24.0713991292,4
DZA,Algeria,5452993000.0,22.4194304692,3
EGY,"Egypt, Arab Rep.",39623992000.0,24.4027006303,5
BGD,Bangladesh,34925179000.0,24.2764738673,4
BGR,Bulgaria,48742394000.0,24.6098150017,5
BOL,Bolivia,8780817000.0,22.8958352927,3
GHA,Ghana,17611828000.0,23.5918365587,4
PAK,Pakistan,62184234000.0,24.8533673319,5
JOR,Jordan,24255798000.0,23.9119215185,4
LBR,Liberia,633087000.0,20.2661184114,1
MYS,Malaysia,2.10819985e+11,26.0742704546,6
TZA,Tanzania,14436318000.0,23.3930129517,4
PRY,Paraguay,14091693000.0,23.3688513118,4
BFA,Burkina Faso,2543690000.0,21.6568816197,2
MRT,Mauritania,3521909000.0,21.9822690091,2
CPV,Cabo Verde,1536772000.0,21.1529499496,2
CHN,China,9.59509815e+11,27.5896883816,8
JAM,Jamaica,14045640000.0,23.3655778643,4
DJI,Djibouti,957452000.0,20.6797861472,1
GIN,Guinea,1406670000.0,21.064491046,2
THA,Thailand,1.35799305e+11,25.6344439342,6
STP,Sao Tome and Principe,211910000.0,19.1716722142,0
NPL,Nepal,4009917000.0,22.1120363798,3
MAR,Morocco,42771806000.0,24.4791449842,5
YEM,"Yemen, Rep.",7710440000.0,22.7658410916,3
PHL,Philippines,77658912000.0,25.0755921514,5
ZAF,South Africa,1.44005733e+11,25.6931189482,6
NIC,Nicaragua,10215978680.4,23.0472188688,3
MNE,Montenegro,2454474000.0,21.6211783186,2
SYR,Syrian Arab Republic,4597087000.0,22.248688679,3
KAZ,Kazakhstan,1.57594599e+11,25.7832917435,6
DMA,Dominica,291376000.0,19.4901250873,0
BEN,Benin,1984084000.0,21.4084231836,2
TGO,Togo,995138000.0,20.718391979,1
ZWE,Zimbabwe,10570371000.0,23.0813207356,3
LKA,Sri Lanka,43608892000.0,24.4985269115,5
GUY,Guyana,2379137000.0,21.5900036538,2
LSO,Lesotho,876327000.0,20.5912498669,1
TKM,Turkmenistan,441187000.0,19.9049793798,1
PAN,Panama,19342926000.0,23.6855926082,4
COM,Comoros,145043000.0,18.7925408081,0
TCD,Chad,2857382000.0,21.7731716579,2
GEO,Georgia,13912047000.0,23.3560209924,4
ROU,Romania,1.11289915e+11,25.4354044802,6
MNG,Mongolia,20826128000.0,23.7594741892,4
SDN,Sudan,21758644000.0,23.8032769408,4
BLZ,Belize,1288465000.0,20.9767174243,1
AFG,Afghanistan,2554678000.0,21.6611920253,2
BDI,Burundi,690170000.0,20.352448502,1
BLR,Belarus,40013831000.0,24.4124910063,5
GRD,Grenada,650808000.0,20.2937252258,1
RWA,Rwanda,2021901000.0,21.4273039949,2
TJK,Tajikistan,4047261000.0,22.121306193,3
HTI,Haiti,1937469000.0,21.3846483191,2
LCA,St. Lucia,527505000.0,20.0836689019,1
IND,India,4.6323046435e+11,26.8614905304,7
BTN,Bhutan,1840092000.0,21.3330814073,2
VCT,St. Vincent and the Grenadines,338851000.0,19.6410710407,0
VNM,Vietnam,71890107000.0,24.9984044983,5
FJI,Fiji,863553000.0,20.5765658318,1
HND,Honduras,7331302000.0,22.7154189633,3
MUS,Mauritius,11288438000.0,23.147044853,3
DOM,Dominican Republic,26707974000.0,24.0082280095,4
PER,Peru,66468654000.0,24.9199963051,5
IDN,Indonesia,2.93397401e+11,26.4047938444,6
VUT,Vanuatu,181267000.0,19.0154816404,0
MKD,"Macedonia, FYR",7241004000.0,22.7030257078,3
CRI,Costa Rica,20974122000.0,23.7665552291,4
COD,"Congo, Dem. Rep.",5507884000.0,22.4294463573,3
COG,"Congo, Rep.",3900809000.0,22.0844498045,2
ETH,Ethiopia,16585085000.0,23.5317696344,4
