DATE,DDURRX,DHUTRX,DNDGRX,DPCERX,DSERRX,DSEREXHUT
2000-01-01,2.075109479511664,0.42102549353152174,-0.8320965683136152,6.22615367532251,4.298091075886599,3.8770655823550766
2000-04-01,-0.7087349876282498,1.087687544988194,1.8311842003349177,3.8960776420408516,3.3514278018895145,2.2637402569013205
2000-07-01,0.6333498661280599,0.726430835421112,0.6116892008877464,3.9469325542268896,2.5923424268366873,1.8659115914155748
2000-10-01,0.2597748696784638,1.2923083929253416,0.8903040668531768,3.6099919365959687,2.500987247797601,1.2086788548722596
2001-01-01,0.6114615035654545,0.4124838448638861,-0.5490228487592237,1.7008095207645901,1.4425029923988912,1.030019147535005
2001-04-01,-0.032675974886224174,-0.08152100676932442,0.4238706225270616,1.0308618487739674,0.6839269780469669,0.7654479848162913
2001-07-01,0.4301779899098704,0.32119892285502144,0.4220286702938219,1.4700601054133289,0.48013476578103115,0.1589358429260097
2001-10-01,3.2017725289655976,-0.06790646108218251,0.7863753970532078,6.252136627426141,1.130112134179792,1.1980185952619744
2002-01-01,-0.4943590617770728,-0.00940780848174787,0.3345681438458778,1.2030176001760706,1.6600763559626959,1.6694841644444436
2002-04-01,0.39013960750525817,0.3267791573710871,0.045912684388268774,2.05907277760653,1.571339163327444,1.2445600059563569
2002-07-01,1.1746511766407777,0.1323304771467682,0.22281527399792736,2.8266827804644956,1.084779676118641,0.9524491989718729
2002-10-01,-0.5642789195082304,0.4730521139027918,1.1742647119068905,2.1642998809364045,1.835238437151623,1.3621863232488314
2003-01-01,0.122590580819193,0.16264952487332537,0.6225150622363489,1.771970023548608,1.019855225739678,0.8572057008663526
2003-04-01,1.85262150466164,0.23168856060566256,0.6689231079827804,4.527333590073979,1.5364364107704143,1.3047478501647518
2003-07-01,1.8718674936583022,0.10695059405799698,1.7023433749517896,6.028968383790212,2.068500617108682,1.961550023050685
2003-10-01,0.548307586799427,0.5541473885412638,0.6322377606704754,3.1429903514127,1.9068084431620431,1.3526610546207796
2004-01-01,0.71507779166341,0.4856239614629472,0.6917404494203627,3.9466239005616632,2.4774976588560094,1.9918736973930624
2004-04-01,0.42129974119317626,0.5438088037935107,0.28098490327470693,2.622155735316256,1.899489916606418,1.3556811128129072
2004-07-01,0.849974858362486,0.43238892054356104,0.7049144917225645,3.879533801851176,2.230375157588578,1.797986237045017
2004-10-01,0.6223275295329892,0.9680552800333794,0.8196037303714602,4.167673982293696,2.69568326117884,1.727627981145461
2005-01-01,0.46562621286295885,0.8012185280149797,1.1631989283739188,3.093125554180376,1.4326260446573618,0.6314075166423819
2005-04-01,1.257953307743274,0.924766142009465,0.39687772237907376,4.417246889612447,2.606603005173394,1.6818368631639289
2005-07-01,0.5090682081160645,0.8451425730060599,0.20026611413308115,3.1391617660860405,2.409617882712354,1.5644753097062942
2005-10-01,-1.1957725953395326,0.25604213681137433,1.5229072382578512,1.5152692004116508,1.4043497826780886,1.1483076458667145
2006-01-01,1.797312688765577,-0.18826735205177753,0.756324873311082,4.561287119572888,1.7964671134138959,1.9847344654656733
2006-04-01,-0.04956553065523545,0.8608073889965682,0.29913377948953973,2.1467345216899636,1.942628971123881,1.081821582127313
2006-07-01,0.6156468261876532,0.47108966750900033,0.45256621880845377,2.3548707689886372,1.2348003186103764,0.7637106511013761
2006-10-01,0.5999015408638849,-0.3090952333939789,1.5164533341829345,4.140934846415956,1.9936993470097537,2.3027945804037326
2007-01-01,0.5042807965006473,0.36615223789034207,0.18506387206467323,2.1195127548520487,1.3921979450652169,1.026045707174875
2007-04-01,0.6525229392200612,0.10563507341675366,-0.17851321359113112,1.3660928903918235,0.8480584903560635,0.7424234169393098
2007-07-01,0.508012638399589,0.21345608922712234,0.12279549581620493,1.7896730522064752,1.1457699452605266,0.9323138560334042
2007-10-01,0.18152840390004918,-0.21456251379635283,-0.07068503515160872,0.5030736736015395,0.4043295451042753,0.6188920589006282
2008-01-01,-1.304090751595425,0.5765195716009497,-0.4847969531498931,-0.8239610123210062,1.0657068700065855,0.48918729840563574
2008-04-01,-0.13930489971346746,0.22336613962640106,0.6215509602666127,0.67655547002472,0.1980560934695908,-0.02531004615681025
2008-07-01,-1.3463468530283247,-0.21535424714532564,-1.1615387506923087,-2.859990779363164,-0.29164108437474545,-0.07628683722941983
2008-10-01,-3.0605809364691323,0.6311277626756575,-1.319266693163002,-4.726312192146132,-0.3046092561178146,-0.9357370187934722
2009-01-01,0.0747203960537057,0.12987499874421046,0.06409206385641136,-1.3644524046617423,-1.5215826340785599,-1.6514576328227704
2009-04-01,-0.24376457758403763,0.15777746980621363,-0.6365143222090142,-1.7929441258270007,-0.928475238345819,-1.0862527081520326
2009-07-01,1.9753444778165667,0.1425043777157464,0.33432136216270714,2.4486302475957844,0.1324607416202403,-0.010043636095506101
2009-10-01,-0.7707359007276521,0.3704704884421193,0.4448159174609229,-0.042929012721326654,0.27127568756479503,-0.0991948008773242
2010-01-01,0.5567640809526244,0.2698186402149823,0.7421749811215625,2.1616556535569043,0.8670493858870179,0.5972307456720355
2010-04-01,1.2712278972018938,-0.025680134481163606,0.4265596900782152,3.2947326750872863,1.6218903376767972,1.6475704721579607
2010-07-01,0.705361746076211,0.402631036203058,0.5619140878483532,2.6134054636420823,1.3590564814868547,0.9564254452837967
2010-10-01,1.3581666988207723,0.4176459472390196,1.1490006314976255,4.159264423243214,1.6817242433329962,1.2640782960939767
2011-01-01,0.5695170822032797,0.058037937376138216,0.42121112337532,2.0216548186021477,1.0443657255717111,0.9863277881955729
