DATE,realUSDCAD,realUSDJPY,realUSDEUR,realUSDGBP
1980-08-01,0.00405013551588,4.15037642355e-05,,
1980-09-01,0.00403302977312,4.36472655391e-05,,
1980-10-01,0.00401508991048,4.44003532846e-05,,
1980-11-01,0.00398425673502,4.33099620588e-05,,
1980-12-01,0.00392145435524,4.35387474355e-05,,
1981-01-01,0.0039596148732,4.51060283533e-05,,
1981-02-01,0.00393588920826,4.39724934666e-05,,
1981-03-01,0.00398173872927,4.32476445267e-05,,
1981-04-01,0.00399729392312,4.18773582136e-05,,
1981-05-01,0.00395733962418,4.09407028037e-05,,
1981-06-01,0.00396818784335,4.00347299077e-05,,
1981-07-01,0.00392703322704,3.81153372566e-05,,
1981-08-01,0.00389599860164,3.72926052937e-05,,
1981-09-01,0.00396148283416,3.81592562242e-05,,
1981-10-01,0.0039693568796,3.78348640655e-05,,
1981-11-01,0.00405595257761,3.92279043415e-05,,
1981-12-01,0.00411272319098,3.98964098459e-05,,
1982-01-01,0.00408160247963,3.87816736016e-05,,
1982-02-01,0.0040576122828,3.6933529008e-05,,
1982-03-01,0.00407048126863,3.61525999421e-05,,
1982-04-01,0.00407523152076,3.58779253758e-05,,
1982-05-01,0.00406104981404,3.67003685004e-05,,
1982-06-01,0.00392098822402,3.4192432399e-05,,
1982-07-01,0.00394621835469,3.33046700709e-05,,
1982-08-01,0.00403089334154,3.29585292212e-05,,
1982-09-01,0.00408536001449,3.28659231443e-05,,
1982-10-01,0.00411007301395,3.1835732041e-05,,
1982-11-01,0.0041605533241,3.24234908089e-05,,
1982-12-01,0.00413611543933,3.55788451264e-05,,
1983-01-01,0.00413158536372,3.70430615029e-05,,
1983-02-01,0.00414522080082,3.6344122275e-05,,
1983-03-01,0.00419348415126,3.61902343811e-05,,
1983-04-01,0.00414993513398,3.61806886043e-05,,
1983-05-01,0.00416448132275,3.67206774715e-05,,
1983-06-01,0.0041556879069,3.55959161625e-05,,
1983-07-01,0.00416027440571,3.53403314167e-05,,
1983-08-01,0.00416391236927,3.45433865919e-05,,
1983-09-01,0.00415428856716,3.50407036214e-05,,
1983-10-01,0.00417196605132,3.66535320778e-05,,
1983-11-01,0.00415485665992,3.62052646849e-05,,
1983-12-01,0.00412369656826,3.60886435593e-05,,
1984-01-01,0.00409449012123,3.6145717422e-05,,
1984-02-01,0.0041098820463,3.62932781723e-05,,
1984-03-01,0.00405182548241,3.76485159557e-05,,
1984-04-01,0.00402078622682,3.76062111943e-05,,
1984-05-01,0.00396328074423,3.67643629122e-05,,
1984-06-01,0.00394204576597,3.58017012455e-05,,
1984-07-01,0.00388712580999,3.43885479875e-05,,
1984-08-01,0.00390697355762,3.4133947343e-05,,
1984-09-01,0.00386214095741,3.39947715885e-05,,
1984-10-01,0.0038442701146,3.39506052379e-05,,
1984-11-01,0.00387581967144,3.42689845588e-05,,
1984-12-01,0.00388492889933,3.37466985569e-05,,
1985-01-01,0.00387237799075,3.30451190177e-05,,
1985-02-01,0.00380316469132,3.19857480194e-05,,
1985-03-01,0.00370865479254,3.23636774547e-05,,
1985-04-01,0.00375839415048,3.31379274175e-05,,
1985-05-01,0.00373541113061,3.3066635811e-05,,
1985-06-01,0.00378230095462,3.33573378298e-05,,
1985-07-01,0.00382909792608,3.45515226749e-05,,
1985-08-01,0.00381415222469,3.48263517685e-05,,
1985-09-01,0.00378566507026,3.49840673147e-05,,
1985-10-01,0.00378166943803,3.86595490469e-05,,
1985-11-01,0.00375602223578,4.02871793141e-05,,
1985-12-01,0.00371755646333,4.04764302239e-05,,
1986-01-01,0.00368837540462,4.1133386939e-05,,
1986-02-01,0.00372263425408,4.46019455804e-05,,
1986-03-01,0.00377167699232,4.63509670644e-05,,
1986-04-01,0.0038255737261,4.75494158817e-05,,
1986-05-01,0.00387212349332,4.98716428178e-05,,
1986-06-01,0.003800117217,4.90656258139e-05,,
1986-07-01,0.00385396536911,5.18300275939e-05,,
1986-08-01,0.0038484791694,5.30442522159e-05,,
1986-09-01,0.00383433162054,5.28490432985e-05,,
1986-10-01,0.00385029370966,5.22716184667e-05,,
1986-11-01,0.00388705776522,5.00123018829e-05,,
