date,All-items,Housing,Healthcare,Food & beverage,Energy,Apparel,Furniture & utensils,Education,Recreation,Core,Transportation
2008-10-01,1.7,0.2,-0.1,3.1,10.2,0.6,0.3,0.7,-0.2,0.2,1.8
2008-11-01,1.0,0.2,-0.5,3.7,0.6,0.5,0.2,0.7,-0.5,0.0,-2.3
2008-12-01,0.4,0.1,-0.4,3.6,-6.7,0.5,0.3,0.7,-0.4,0.0,-5.1
2009-01-01,0.0,0.0,0.1,3.3,-8.2,-0.8,0.5,0.7,-1.4,-0.2,-6.3
2009-02-01,-0.1,-0.1,0.0,2.5,-7.2,-0.2,0.2,1.0,-1.3,-0.1,-5.5
2009-03-01,-0.3,-0.1,0.1,2.2,-7.3,-0.5,-0.6,0.8,-1.2,-0.3,-5.4
2009-04-01,-0.1,-0.1,-0.3,1.6,-3.5,-0.3,-0.9,0.7,-2.2,-0.5,-2.0
2009-05-01,-1.1,-0.1,-0.2,1.0,-11.5,-0.1,-1.6,0.8,-2.5,-0.6,-5.6
2009-06-01,-1.8,-0.2,-0.3,-0.2,-14.7,-0.4,-1.7,0.8,-2.6,-0.8,-6.6
2009-07-01,-2.2,-0.2,0.0,-0.7,-17.5,-0.7,-3.0,0.8,-2.9,-1.0,-7.3
2009-08-01,-2.2,-0.2,0.0,-0.1,-18.7,-0.6,-3.1,0.8,-3.1,-1.0,-7.6
2009-09-01,-2.2,-0.2,-0.3,-0.5,-16.3,-1.1,-3.5,0.8,-3.2,-1.1,-6.1
2009-10-01,-2.5,-0.3,-0.4,-2.0,-14.1,-1.4,-3.8,0.7,-3.5,-1.2,-4.6
2009-11-01,-1.9,-0.3,-0.1,-2.2,-7.8,-1.6,-4.2,0.7,-3.2,-1.1,-1.6
2009-12-01,-1.7,-0.4,-0.5,-2.6,-2.5,-1.9,-4.8,0.7,-3.4,-1.3,0.5
2010-01-01,-1.0,-0.3,-1.0,-1.5,-0.7,-0.4,-4.2,-2.9,-1.6,-0.8,2.4
2010-02-01,-0.8,-0.3,-1.0,-0.9,-0.2,0.4,-3.9,-3.2,-1.1,-0.8,2.0
2010-03-01,-0.8,-0.3,-0.9,-1.1,0.3,0.5,-4.1,-3.1,-1.5,-0.8,1.7
2010-04-01,-0.8,-0.4,-0.2,-0.3,0.6,-1.0,-3.8,-11.7,-0.3,-1.1,2.0
2010-05-01,-0.7,-0.4,-0.4,-0.7,4.6,-1.9,-4.0,-11.7,-0.7,-1.3,2.3
2010-06-01,-0.7,-0.4,-0.1,-0.4,4.3,-1.8,-4.7,-11.7,-1.0,-1.3,1.4
2010-07-01,-1.0,-0.4,-0.5,-0.6,3.7,-1.7,-5.0,-11.7,-1.7,-1.5,0.4
2010-08-01,-1.1,-0.4,-0.7,-1.3,4.2,-1.8,-5.2,-11.7,-2.3,-1.5,0.5
2010-09-01,-0.9,-0.5,-0.5,-0.2,3.6,-1.3,-5.1,-11.7,-2.6,-1.7,-0.3
2010-10-01,-0.2,-0.4,0.0,1.0,4.0,-2.0,-5.4,-11.7,-1.9,-1.2,-0.3
2010-11-01,-0.3,-0.4,-0.3,1.4,3.8,-1.5,-5.0,-11.7,-2.7,-1.3,-0.2
2010-12-01,-0.4,-0.3,0.0,0.7,3.9,-1.6,-4.3,-11.7,-2.8,-1.2,0.0
2011-01-01,-0.6,-0.3,-0.3,0.0,4.3,-1.5,-5.6,-8.3,-3.7,-1.4,0.1
2011-02-01,-0.5,-0.2,-0.1,0.3,3.7,-0.6,-5.7,-8.3,-4.1,-1.3,0.1
