Date,REER,NEER,Rate
2014-01-01,1.0,1.0,1.0
2014-01-02,1.0161916231767696,1.0207215992198926,1.0
2014-01-03,1.0161916231767696,1.0207215992198926,1.0053603905427395
2014-01-06,1.0161916231767696,1.0207215992198926,1.0047833157945087
2014-01-07,1.0161916231767696,1.0207215992198926,1.0035352570227403
2014-01-08,1.0161916231767696,1.0207215992198926,1.0019078508060668
2014-01-09,1.0161916231767696,1.0207215992198926,1.002290294875465
2014-01-10,1.0161916231767696,1.0207215992198926,1.0084493518963034
2014-01-13,1.0161916231767696,1.0207215992198926,1.016157120743034
2014-01-14,1.0161916231767696,1.0207215992198926,1.0138030888030887
2014-01-15,1.0161916231767696,1.0207215992198926,1.0053603905427395
2014-01-16,1.0161916231767696,1.0207215992198926,1.0075786646201075
2014-01-17,1.0161916231767696,1.0207215992198926,1.0072887695406156
2014-01-20,1.0161916231767696,1.0207215992198926,1.0094185487746277
2014-01-21,1.0161916231767696,1.0207215992198926,1.0070955988110077
2014-01-22,1.0161916231767696,1.0207215992198926,1.007482014388489
2014-01-23,1.0161916231767696,1.0207215992198926,1.0132162840054024
2014-01-24,1.0161916231767696,1.0207215992198926,1.026084407971864
2014-01-27,1.0161916231767696,1.0207215992198926,1.0252830925419758
2014-01-28,1.0161916231767696,1.0207215992198926,1.0217920031131433
2014-01-29,1.0161916231767696,1.0207215992198926,1.0271882640586796
2014-01-30,1.0161916231767696,1.0207215992198926,1.0224883177570092
2014-01-31,1.0161916231767696,1.0207215992198926,1.0298068438082166
2014-02-01,1.0161916231767696,1.0207215992198926,1.0373333333333332
2014-02-03,1.0152549177037336,1.0180399804973184,1.0373333333333332
2014-02-04,1.0152549177037336,1.0180399804973184,1.0357988165680474
2014-02-05,1.0152549177037336,1.0180399804973184,1.037948413874889
2014-02-06,1.0152549177037336,1.0180399804973184,1.0311211466719026
2014-02-07,1.0152549177037336,1.0180399804973184,1.0274897280375659
2014-02-10,1.0152549177037336,1.0180399804973184,1.0295040188198394
2014-02-11,1.0152549177037336,1.0180399804973184,1.0258839617112716
2014-02-12,1.0152549177037336,1.0180399804973184,1.0242832065535399
2014-02-13,1.0152549177037336,1.0180399804973184,1.0280931871574002
2014-02-14,1.0152549177037336,1.0180399804973184,1.0310199273583978
2014-02-17,1.0152549177037336,1.0180399804973184,1.0307163886162902
2014-02-18,1.0152549177037336,1.0180399804973184,1.026084407971864
2014-02-19,1.0152549177037336,1.0180399804973184,1.0275902553566187
2014-02-20,1.0152549177037336,1.0180399804973184,1.0265858664842147
2014-02-21,1.0152549177037336,1.0180399804973184,1.0229862666796532
2014-02-24,1.0152549177037336,1.0180399804973184,1.0251830161054172
2014-02-25,1.0152549177037336,1.0180399804973184,1.0279925614172458
2014-02-26,1.0152549177037336,1.0180399804973184,1.0268869769260853
2014-02-27,1.0152549177037336,1.0180399804973184,1.0287981193064943
2014-02-28,1.0152549177037336,1.0180399804973184,1.029100529100529
2014-03-01,1.0152549177037336,1.0180399804973184,1.0354924578527063
2014-03-03,1.032115616218386,1.0148707947342759,1.0354924578527063
2014-03-04,1.032115616218386,1.0148707947342759,1.0283951826103985
2014-03-05,1.032115616218386,1.0148707947342759,1.0263852242744063
2014-03-06,1.032115616218386,1.0148707947342759,1.0189173457508731
2014-03-07,1.032115616218386,1.0148707947342759,1.0165505226480838
2014-03-10,1.032115616218386,1.0148707947342759,1.01743679163034
2014-03-11,1.032115616218386,1.0148707947342759,1.0178311851923636
2014-03-12,1.032115616218386,1.0148707947342759,1.0222892738952696
2014-03-13,1.032115616218386,1.0148707947342759,1.0284958871915393
2014-03-14,1.032115616218386,1.0148707947342759,1.0351862803075105
2014-03-17,1.032115616218386,1.0148707947342759,1.033454688576208
2014-03-18,1.032115616218386,1.0148707947342759,1.0362075769534334
2014-03-19,1.032115616218386,1.0148707947342759,1.0342688330871492
2014-03-20,1.032115616218386,1.0148707947342759,1.02568359375
2014-03-21,1.032115616218386,1.0148707947342759,1.0259841750512846
2014-03-24,1.032115616218386,1.0148707947342759,1.0273892203854054
2014-03-25,1.032115616218386,1.0148707947342759,1.0264855355746678
2014-03-26,1.032115616218386,1.0148707947342759,1.0265858664842147
2014-03-27,1.032115616218386,1.0148707947342759,1.0283951826103985
2014-03-28,1.032115616218386,1.0148707947342759,1.020402215097639
2014-03-31,1.032115616218386,1.0148707947342759,1.0199067780151485
2014-04-01,1.032115616218386,1.0148707947342759,1.014096746162016
2014-04-02,1.0409474106784424,1.0213310580204777,1.01263015811801
2014-04-03,1.0409474106784424,1.0213310580204777,1.0109731446722496
2014-04-04,1.0409474106784424,1.0213310580204777,1.0139988414751882
2014-04-07,1.0409474106784424,1.0213310580204777,1.0184233491709493
2014-04-08,1.0409474106784424,1.0213310580204777,1.0285966114974048
2014-04-09,1.0409474106784424,1.0213310580204777,1.031222385861561
2014-04-10,1.0409474106784424,1.0213310580204777,1.0345744680851063
2014-04-11,1.0409474106784424,1.0213310580204777,1.033454688576208
2014-04-14,1.0409474106784424,1.0213310580204777,1.031222385861561
2014-04-15,1.0409474106784424,1.0213310580204777,1.0332513526807672
2014-04-16,1.0409474106784424,1.0213310580204777,1.026987386330302
2014-04-17,1.0409474106784424,1.0213310580204777,1.0270878153725798
2014-04-22,1.0409474106784424,1.0213310580204777,1.023684210526316
2014-04-23,1.0409474106784424,1.0213310580204777,1.0258839617112716
2014-04-24,1.0409474106784424,1.0213310580204777,1.0272887323943662
2014-04-25,1.0409474106784424,1.0213310580204777,1.0294031167303734
