,Male: 16-24: LTHS,Male: 16-24: HS,Male: 16-24: Some college,Male: 16-24: College,Male: 16-24: Advanced,Male: 16-24: LTHS or HS,Male: 16-24: College or Advanced,Male: 25-34: LTHS,Male: 25-34: HS,Male: 25-34: Some college,Male: 25-34: College,Male: 25-34: Advanced,Male: 25-34: LTHS or HS,Male: 25-34: College or Advanced,Male: 35-44: LTHS,Male: 35-44: HS,Male: 35-44: Some college,Male: 35-44: College,Male: 35-44: Advanced,Male: 35-44: LTHS or HS,Male: 35-44: College or Advanced,Male: 45-54: LTHS,Male: 45-54: HS,Male: 45-54: Some college,Male: 45-54: College,Male: 45-54: Advanced,Male: 45-54: LTHS or HS,Male: 45-54: College or Advanced,Male: 55-64: LTHS,Male: 55-64: HS,Male: 55-64: Some college,Male: 55-64: College,Male: 55-64: Advanced,Male: 55-64: LTHS or HS,Male: 55-64: College or Advanced,Male: 65+: LTHS,Male: 65+: HS,Male: 65+: Some college,Male: 65+: College,Male: 65+: Advanced,Male: 65+: LTHS or HS,Male: 65+: College or Advanced,Male: 16+: LTHS,Male: 16+: HS,Male: 16+: Some college,Male: 16+: College,Male: 16+: Advanced,Male: 16+: LTHS or HS,Male: 16+: College or Advanced,Male: 25-54: LTHS,Male: 25-54: HS,Male: 25-54: Some college,Male: 25-54: College,Male: 25-54: Advanced,Male: 25-54: LTHS or HS,Male: 25-54: College or Advanced,Female: 16-24: LTHS,Female: 16-24: HS,Female: 16-24: Some college,Female: 16-24: College,Female: 16-24: Advanced,Female: 16-24: LTHS or HS,Female: 16-24: College or Advanced,Female: 25-34: LTHS,Female: 25-34: HS,Female: 25-34: Some college,Female: 25-34: College,Female: 25-34: Advanced,Female: 25-34: LTHS or HS,Female: 25-34: College or Advanced,Female: 35-44: LTHS,Female: 35-44: HS,Female: 35-44: Some college,Female: 35-44: College,Female: 35-44: Advanced,Female: 35-44: LTHS or HS,Female: 35-44: College or Advanced,Female: 45-54: LTHS,Female: 45-54: HS,Female: 45-54: Some college,Female: 45-54: College,Female: 45-54: Advanced,Female: 45-54: LTHS or HS,Female: 45-54: College or Advanced,Female: 55-64: LTHS,Female: 55-64: HS,Female: 55-64: Some college,Female: 55-64: College,Female: 55-64: Advanced,Female: 55-64: LTHS or HS,Female: 55-64: College or Advanced,Female: 65+: LTHS,Female: 65+: HS,Female: 65+: Some college,Female: 65+: College,Female: 65+: Advanced,Female: 65+: LTHS or HS,Female: 65+: College or Advanced,Female: 16+: LTHS,Female: 16+: HS,Female: 16+: Some college,Female: 16+: College,Female: 16+: Advanced,Female: 16+: LTHS or HS,Female: 16+: College or Advanced,Female: 25-54: LTHS,Female: 25-54: HS,Female: 25-54: Some college,Female: 25-54: College,Female: 25-54: Advanced,Female: 25-54: LTHS or HS,Female: 25-54: College or Advanced
1979-01-01,0.527965336921,0.850240928744,0.653936439905,0.830622174686,0.559106971825,0.66413115212,0.795362493121,0.837088232754,0.925371230228,0.918195302037,0.948231227209,0.930440638678,0.898236851866,0.942225213623,0.862801967758,0.942826593673,0.949395122737,0.967398761537,0.969058123699,0.91085818779,0.968118249006,0.821337213822,0.910594157286,0.921238639286,0.954728827847,0.971369360896,0.865487047763,0.961166973945,0.624367817619,0.75592899924,0.76562340751,0.827359443274,0.863221966474,0.681833568049,0.840415936016,0.153502620739,0.231608502121,0.25527215614,0.249067526578,0.406429966827,0.172581850765,0.30938764741,0.564003563673,0.830230705769,0.790288739709,0.876905234335,0.888097701727,0.690312057994,0.880920504696,0.838425654669,0.926743437293,0.927409208337,0.954905189472,0.95323977465,0.891228710533,0.954276455505,0.369447617481,0.655556714746,0.61569845334,0.827166314591,0.624057324647,0.505098982296,0.811688013028,0.411609288426,0.583702105593,0.636015817652,0.708046216966,0.787856330089,0.53657881544,0.726209190624,0.476438990212,0.626522056731,0.655178547327,0.668308966945,0.808133226494,0.574927009313,0.705318788245,0.451151069452,0.581992311817,0.617546505527,0.656924255803,0.838324089656,0.528836033986,0.705485666687,0.32792759123,0.43816934557,0.485010106308,0.474907021364,0.668540669783,0.384220300264,0.524047989865,0.0643415632374,0.107011476054,0.107696951144,0.104642085478,0.14488629526,0.0772051145243,0.113613627038,0.304017014991,0.534073537978,0.570237008696,0.62317652647,0.713082089638,0.426631990677,0.643463432223,0.44770546116,0.596650626939,0.637539589058,0.68782263694,0.804383985531,0.54622125659,0.716444396805
1980-01-01,0.496356087987,0.809505609095,0.634298236843,0.823982064042,0.548307687379,0.628938026015,0.784928700629,0.800396658012,0.881384913303,0.901606327457,0.951155648609,0.916115672029,0.857148618767,0.939517952851,0.825347414274,0.922432706276,0.931434467921,0.970813746681,0.975483159758,0.884744116411,0.972785703422,0.795777139434,0.902737491986,0.916944750813,0.955211170293,0.963710792736,0.849389746668,0.958561642922,0.597416432673,0.741347908626,0.755849394678,0.834664820385,0.861379613018,0.661024126342,0.844396669361,0.146107426861,0.213861391541,0.237154453593,0.282642905279,0.415484423461,0.163606518019,0.332325858255,0.536995270659,0.800771497818,0.774782195475,0.880660751945,0.883750054601,0.664294030835,0.88176286408,0.806143555453,0.899827947442,0.912837660741,0.957686656424,0.948092591225,0.863168967849,0.954098971105,0.345007717075,0.648689606328,0.615055215665,0.815888066503,0.681820098328,0.488699724755,0.803749607555,0.400821546323,0.585812478505,0.655938145643,0.724720500629,0.810597575345,0.53660970354,0.74492030574,0.482974227877,0.63929585057,0.672360169813,0.678596628058,0.812378884848,0.586332670022,0.715327580166,0.455549350854,0.598023683322,0.643607640539,0.670447349281,0.837300723393,0.541146773953,0.713698854983,0.310139815167,0.441305679437,0.481215903566,0.488937002971,0.647996438363,0.379605622926,0.530199492767,0.0604686301722,0.107087679478,0.108461356822,0.101480426608,0.159976300301,0.0749492897754,0.115003337267,0.292566624757,0.535567642362,0.581354388627,0.635224264433,0.726174291618,0.423711535841,0.656398722595,0.448220058713,0.6059567909,0.658301416133,0.702163470017,0.816160188541,0.553725371928,0.730761438609
1981-01-01,0.471433072769,0.791191110915,0.628651099793,0.82231176959,0.610655120835,0.608064491702,0.795534406657,0.78337561399,0.880032391897,0.892753273186,0.940416961281,0.914135077109,0.852310538454,0.931854789975,0.823352199351,0.910812899856,0.931522885226,0.969453220051,0.970116308212,0.877769775039,0.969739996125,0.785809638684,0.895648482761,0.908042439883,0.95609163517,0.963465260678,0.842899264269,0.958995879959,0.579943361865,0.706259221844,0.74393858424,0.816589472324,0.841143674208,0.636672836695,0.825671029765,0.137033791507,0.203419737643,0.246182458493,0.263211273363,0.385655932447,0.155067894345,0.30926067226,0.519093676557,0.786790348826,0.770454099819,0.873273343531,0.880204954692,0.651532286069,0.875758911118,0.796720046655,0.893341979778,0.90632490796,0.952181557508,0.9460821392,0.857251278553,0.949895425816,0.329355245744,0.644571623198,0.608386639861,0.822092671861,0.611855562586,0.479221444651,0.803624977338,0.396732809287,0.596048598857,0.667242882112,0.737441654868,0.800955896339,0.543597656125,0.752684634727,0.480666944291,0.646990406042,0.686417421794,0.681439672819,0.815900891709,0.593243960342,0.719339204888,0.460929611996,0.611233684503,0.656515128207,0.675360901871,0.838027502875,0.551734167835,0.720688723404,0.306734302226,0.436049607718,0.472869665248,0.477988702497,0.648653830349,0.375635253279,0.524777817007,0.0587560168013,0.100837383264,0.101499607668,0.0931802930586,0.17300942946,0.0721777224176,0.111233830818,0.285039653839,0.53666578627,0.584261073236,0.641067164719,0.72882969613,0.422109289947,0.662177274873,0.447098885762,0.61604436235,0.670716931444,0.71070482982,0.812761489403,0.56154092845,0.737160108604
1982-01-01,0.426736548538,0.750776547458,0.605524214265,0.797438109642,0.533901211985,0.568434294094,0.762954164767,0.728381945453,0.842660689142,0.861901572007,0.932321873355,0.900656066198,0.811011880821,0.922189810965,0.771243459237,0.880411407596,0.909388324552,0.957458964819,0.969410887446,0.840450419299,0.962567342594,0.772633979323,0.875411687345,0.885386705047,0.94159565597,0.959392657098,0.828578968301,0.948694918414,0.566126264571,0.676603861223,0.724716716098,0.808328199491,0.847480586515,0.617177239043,0.822895722183,0.129005818433,0.191473946886,0.225720866943,0.271545066997,0.374802652605,0.147155527001,0.310472053699,0.48770710632,0.753247820396,0.747513069755,0.862995136873,0.872965181724,0.623083921895,0.866563819486,0.758575479153,0.86232986563,0.880023757658,0.941955339938,0.940705975837,0.825288572674,0.941489146778,0.320776508595,0.619551434689,0.602335575473,0.818541578054,0.570547135813,0.463981204715,0.797584085508,0.378888168604,0.587590728659,0.673757317987,0.756210664894,0.799038990137,0.534398434339,0.767023917659,0.468128726044,0.642151441206,0.696280269072,0.696585118801,0.807010349299,0.587720674434,0.728372780513,0.437649055175,0.608641571417,0.646406542642,0.693448284842,0.856496586145,0.543112370982,0.739281540869,0.301472433118,0.422885085295,0.47425522476,0.498931749973,0.667773401513,0.36761590127,0.543097239274,0.0550286112445,0.102494574445,0.110198823174,0.0888513131477,0.178484859075,0.0712119456101,0.109331726851,0.274383860907,0.523545310645,0.586226590231,0.649856409242,0.729665642736,0.413070202767,0.669525999446,0.428877126812,0.610480653969,0.675342082702,0.727569101155,0.811977662307,0.553886704694,0.750225132987
1983-01-01,0.420724910822,0.756251968977,0.620062869233,0.805597609354,0.646794395162,0.566856949587,0.783488838748,0.728907898352,0.836419268961,0.864997056652,0.928611074758,0.891930742538,0.807044214626,0.916615127101,0.768760571744,0.875027126249,0.902620582115,0.947589016921,0.966826521627,0.838256636495,0.955633356229,0.753470673885,0.862788175127,0.883544821685,0.929181678529,0.966151707695,0.815130672912,0.944228087593,0.553481656099,0.657254184542,0.690443160779,0.799592995995,0.839912737632,0.601523116928,0.8152093942,0.120048833394,0.184873227521,0.224301257696,0.291652328843,0.372633692631,0.13991062934,0.322944228811,0.476871210983,0.745268194046,0.748580435511,0.860114168767,0.871777519259,0.616202455188,0.864348946561,0.750391730829,0.854843919177,0.879777197836,0.934956022882,0.9382346781,0.81908148792,0.936188855902,0.301491936099,0.615305602863,0.608276328791,0.830419788296,0.615612191745,0.453773616564,0.813005794674,0.368650896255,0.598476691608,0.682366179806,0.769333242584,0.814293189652,0.540291941561,0.780211573187,0.464664960581,0.647487765266,0.698515648376,0.712554809732,0.813584677795,0.592876380878,0.741928236579,0.437621962351,0.603342203499,0.657215791,0.690298115537,0.843016783454,0.542415788749,0.732888564864,0.301187804165,0.422772987842,0.461612102079,0.487819926164,0.697133724642,0.368503658892,0.546271330382,0.0546798866511,0.0951313055744,0.113749904002,0.0910760923276,0.158386007217,0.0689786081992,0.106895952447,0.266045624019,0.522053975153,0.591695496071,0.660388491093,0.73580347241,0.410823335349,0.678902339801,0.424190307134,0.615659275209,0.682743979323,0.738736046913,0.819030707433,0.557882359524,0.759930209282
1984-01-01,0.447877350701,0.803078175138,0.63851787636,0.798628105028,0.56670434917,0.605089115822,0.768130313795,0.758678969753,0.875146011141,0.892612595924,0.943569512434,0.899264761675,0.843737938347,0.929603769124,0.799129938785,0.898012442304,0.923615864276,0.961186931456,0.966743200328,0.865424872455,0.963558385551,0.774239660223,0.877979347585,0.896743640638,0.94441841378,0.964897954063,0.83396722403,0.95282290013,0.553795464272,0.654622214464,0.69645164255,0.776241650423,0.849324862996,0.601753114243,0.804099371683,0.112188988226,0.17139986276,0.215479140503,0.269014311365,0.380669783749,0.131137597953,0.31148225868,0.490668402105,0.767903017007,0.767482330515,0.864935055791,0.875699358639,0.637947807257,0.868831552803,0.776460433602,0.882765307924,0.903407382051,0.949812227232,0.942332858891,0.847534020509,0.946998849085,0.332325486101,0.645070752521,0.623895997376,0.826062535507,0.595048637265,0.484170556786,0.806511170687,0.40116520685,0.621611322409,0.692009711,0.784246654729,0.830209473257,0.566928172932,0.795154106378,0.47672935587,0.667401202161,0.718350654124,0.723443897596,0.849703604075,0.613226107864,0.761229056337,0.439229022514,0.619749829458,0.673929321877,0.700986702016,0.851533616992,0.554144792853,0.746564664486,0.312413649282,0.417993445289,0.452776894051,0.5121326384,0.661151908035,0.373571879325,0.551422623499,0.0521849920023,0.0909088590911,0.101778842459,0.101744748431,0.139443504112,0.0664724170966,0.110577690894,0.276930912686,0.533115356766,0.602507330951,0.674714145088,0.753020651778,0.424594736192,0.694189927816,0.438692485837,0.636226588284,0.697152273716,0.751379388525,0.841521718753,0.578290852814,0.775639413259
1985-01-01,0.461117277195,0.800038820736,0.650314684668,0.810756823488,0.525906854466,0.604676547344,0.775637679544,0.769123221664,0.88579336485,0.904310042977,0.944142449897,0.896402509689,0.854559991429,0.929805374574,0.783660805195,0.896317294962,0.917789416373,0.960214401845,0.969270039421,0.859841427421,0.963944029864,0.74831581578,0.881961837784,0.904248501837,0.949761325537,0.964099864099,0.826425171942,0.955611803763,0.556575884534,0.658914690046,0.679469741173,0.763766438934,0.8193601396,0.605724254568,0.785058141461,0.101846256171,0.171900188993,0.202672531088,0.21945317282,0.3681525069,0.125146349689,0.277214223648,0.489715292956,0.769430729628,0.770819379868,0.860481021335,0.866257255797,0.639146792162,0.8625300258,0.766188814048,0.888074802651,0.908849465948,0.950923207312,0.943314286406,0.848413536448,0.948146164231,0.335283580978,0.652459951879,0.640712193487,0.845534243232,0.588774191047,0.485518734845,0.826441104722,0.39759120517,0.63338489474,0.698820631917,0.804761295273,0.823449911357,0.575848552425,0.809189336588,0.49098757723,0.678370953483,0.723415114133,0.73677118322,0.843056446966,0.626395356212,0.771132425929,0.446315986156,0.625381605197,0.694705263121,0.734751558027,0.858318346686,0.563055119459,0.773359851251,0.307305889926,0.415093522186,0.488359835876,0.487394307849,0.693765648732,0.369969729088,0.541992341705,0.0495601697412,0.0836401031102,0.103144896649,0.100985155503,0.153862049363,0.0625674888607,0.112762443721,0.277203448229,0.536339582655,0.614934905277,0.687415444228,0.760965695261,0.427938878495,0.706161351174,0.444229013306,0.646113435128,0.706311903097,0.771209836926,0.837916448514,0.588677183278,0.789873732299
1986-01-01,0.462017060846,0.807676190241,0.650354016573,0.844282446793,0.600635401614,0.609219885362,0.817837636602,0.762245170645,0.885130349608,0.898379063714,0.949425745013,0.900676885319,0.852515100544,0.935157809356,0.770612943363,0.89366553823,0.914864949254,0.95324651012,0.959482143353,0.855135253434,0.95575858085,0.758246616355,0.882225472076,0.904044793624,0.940944795106,0.952200083942,0.831529260742,0.94562343678,0.539029644885,0.656402520854,0.67339175542,0.767482726219,0.822458342717,0.59642571574,0.788663445271,0.105510452899,0.176503567478,0.210794646005,0.218258848841,0.299954787939,0.130044351782,0.250593598092,0.48756982354,0.769289955343,0.770613467833,0.861255459061,0.855155160359,0.640460884524,0.859102406417,0.763347187389,0.887037608454,0.90519092249,0.949201492956,0.938459648432,0.84771310907,0.94532405023,0.344692467267,0.66227346554,0.643718524834,0.842933338073,0.647686477019,0.494134137009,0.828781662803,0.401177103145,0.640720256175,0.710697890608,0.806891992943,0.825608247719,0.581231785483,0.81114720344,0.499456936265,0.698199983027,0.740891715821,0.752025982789,0.85100409433,0.646041266914,0.784232305375,0.46730909302,0.639422521882,0.701164377774,0.759479869693,0.866752339124,0.581607581901,0.794092553607,0.295546900361,0.425092750958,0.490079745285,0.501202310815,0.719567015276,0.371779770493,0.562507573143,0.0476619264576,0.0871792188393,0.108734707335,0.105234086415,0.166207187807,0.0630940192172,0.119672866697,0.279294123846,0.546114883098,0.624213189433,0.695507939977,0.767147648819,0.436104060293,0.713993402875,0.454035224664,0.659488735654,0.719286245966,0.780814948735,0.844369671214,0.60243478442,0.798540085824
1987-01-01,0.458781401524,0.822700942101,0.652556418812,0.852310394714,0.589681159969,0.605247487054,0.826477247946,0.788681317721,0.897973869642,0.901217181036,0.946386242844,0.899534174035,0.868727895245,0.932890439278,0.779834131972,0.898641949351,0.913403086037,0.957270335577,0.966995481733,0.863253044426,0.961138916692,0.751944492072,0.880407009488,0.901183325172,0.940051601265,0.953175683174,0.829635926133,0.945718555359,0.551897699959,0.655539171525,0.683487447821,0.758780044822,0.823345922508,0.603758253186,0.785193908681,0.109238235315,0.175936412899,0.209308709884,0.226580126575,0.317785051616,0.133492443607,0.262595233155,0.492415102339,0.772614454063,0.772911645516,0.861400869416,0.859766010801,0.645711494422,0.860819043397,0.773870655881,0.894147656588,0.905579087175,0.949275715469,0.942434250423,0.856849319324,0.94680015393,0.362730203696,0.670481321955,0.657208882322,0.857877853843,0.64780544475,0.501450611988,0.842585730255,0.433190367992,0.657879090292,0.723004893809,0.810936716408,0.827126762442,0.603134593657,0.814561610199,0.516689319345,0.707296761452,0.752063553362,0.775660847158,0.866062794505,0.658244978134,0.80536900672,0.464255200785,0.655571795422,0.728574738806,0.757146449405,0.880891172162,0.592758273003,0.798650859577,0.301945360161,0.430456426426,0.490065635244,0.516538517423,0.674635858738,0.378079164063,0.56153738529,0.0498014762411,0.0899146494365,0.100330757442,0.0917818403154,0.172211961538,0.0662399345351,0.110747783215,0.29036142299,0.552356812663,0.635838911951,0.701946195694,0.772828718636,0.445387040334,0.720511323133,0.469430090077,0.673714024558,0.734107020031,0.790063794261,0.85503720764,0.618210014831,0.808396194464
1988-01-01,0.477618583673,0.829514576646,0.662274165644,0.854507665836,0.64658492585,0.618084880498,0.828983474914,0.783725978444,0.898308205909,0.906442451256,0.950170199591,0.926676467782,0.867216575018,0.943308334656,0.79172284172,0.898249750347,0.919736353499,0.958710113018,0.969522698748,0.866931379557,0.962969635393,0.757700356143,0.887495426903,0.912567907658,0.932864115676,0.964717271821,0.838052467021,0.947079438306,0.543089439072,0.648402182193,0.696354213822,0.742948156367,0.832945337066,0.595953819304,0.780414174022,0.109267029974,0.166939250673,0.208082147705,0.250852340359,0.337798309422,0.131104906929,0.285543909621,0.499842841923,0.771090841719,0.780151715122,0.861424701139,0.872010745602,0.649819406745,0.865266246172,0.777704875862,0.895797005232,0.912509889151,0.950040387421,0.955220090054,0.859597421728,0.951940183601,0.37054382952,0.672069732948,0.665055627601,0.852208410114,0.719683915944,0.506803091521,0.840878292681,0.442396853385,0.661927585158,0.732180155681,0.816341826108,0.814103287614,0.609272030286,0.815819489623,0.505494195464,0.713105768623,0.765657773172,0.784034145719,0.86537033588,0.660086831698,0.811049470446,0.482554164458,0.674183753432,0.738996767603,0.790463088911,0.88113010675,0.612747623813,0.821160448389,0.315110124021,0.440117262669,0.494775846555,0.534835003228,0.634615457809,0.389722552967,0.566382875164,0.0520240754649,0.0914806960173,0.107019771268,0.10171411812,0.147736582649,0.0690709585381,0.113762286822,0.297443674574,0.554699044272,0.645103779913,0.712316533407,0.758538309841,0.451738049077,0.724990998122,0.475492468643,0.682021652205,0.745362888641,0.800546040504,0.850394533936,0.62674564194,0.814979892885
