DATE,PAYEMS_CHG
2000-11-01,222
2000-12-01,137
2001-01-01,-25
2001-02-01,74
2001-03-01,-28
2001-04-01,-279
2001-05-01,-41
2001-06-01,-121
2001-07-01,-108
2001-08-01,-146
2001-09-01,-250
2001-10-01,-328
2001-11-01,-297
2001-12-01,-177
2002-01-01,-149
2002-02-01,-128
2002-03-01,-17
2002-04-01,-83
2002-05-01,17
2002-06-01,51
2002-07-01,-77
2002-08-01,-7
2002-09-01,-67
2002-10-01,113
2002-11-01,6
2002-12-01,-170
2003-01-01,107
2003-02-01,-146
2003-03-01,-208
2003-04-01,-49
2003-05-01,11
2003-06-01,-7
2003-07-01,19
2003-08-01,-46
2003-09-01,110
2003-10-01,205
2003-11-01,3
2003-12-01,121
2004-01-01,167
2004-02-01,58
2004-03-01,328
2004-04-01,254
2004-05-01,297
2004-06-01,82
2004-07-01,45
2004-08-01,116
2004-09-01,157
2004-10-01,348
2004-11-01,63
2004-12-01,126
2005-01-01,147
2005-02-01,244
2005-03-01,138
2005-04-01,358
2005-05-01,172
2005-06-01,247
2005-07-01,371
2005-08-01,196
2005-09-01,66
2005-10-01,86
2005-11-01,337
2005-12-01,155
2006-01-01,282
2006-02-01,312
2006-03-01,297
2006-04-01,168
2006-05-01,31
2006-06-01,79
2006-07-01,206
2006-08-01,179
2006-09-01,148
2006-10-01,12
2006-11-01,208
2006-12-01,173
2007-01-01,234
2007-02-01,85
2007-03-01,214
2007-04-01,59
2007-05-01,153
2007-06-01,77
2007-07-01,-30
2007-08-01,-28
2007-09-01,96
2007-10-01,78
2007-11-01,106
2007-12-01,104
2008-01-01,8
2008-02-01,-81
2008-03-01,-55
2008-04-01,-229
2008-05-01,-184
2008-06-01,-154
2008-07-01,-213
2008-08-01,-277
2008-09-01,-443
2008-10-01,-475
2008-11-01,-759
2008-12-01,-707
2009-01-01,-787
2009-02-01,-704
2009-03-01,-802
2009-04-01,-704
2009-05-01,-354
2009-06-01,-469
2009-07-01,-342
2009-08-01,-196
2009-09-01,-229
2009-10-01,-209
2009-11-01,12
2009-12-01,-277
2010-01-01,18
2010-02-01,-73
2010-03-01,193
2010-04-01,221
2010-05-01,522
2010-06-01,-140
2010-07-01,-78
2010-08-01,-16
2010-09-01,-63
2010-10-01,267
2010-11-01,129
2010-12-01,73
2011-01-01,44
2011-02-01,182
2011-03-01,254
2011-04-01,323
2011-05-01,81
2011-06-01,234
2011-07-01,72
2011-08-01,112
2011-09-01,233
2011-10-01,209
2011-11-01,145
2011-12-01,201
2012-01-01,348
2012-02-01,233
2012-03-01,264
2012-04-01,72
2012-05-01,117
2012-06-01,68
2012-07-01,156
2012-08-01,173
2012-09-01,194
2012-10-01,153
2012-11-01,130
2012-12-01,243
2013-01-01,207
2013-02-01,265
2013-03-01,156
2013-04-01,179
2013-05-01,240
2013-06-01,158
2013-07-01,111
2013-08-01,260
2013-09-01,201
2013-10-01,210
2013-11-01,221
2013-12-01,93
2014-01-01,174
2014-02-01,182
2014-03-01,261
2014-04-01,311
2014-05-01,252
2014-06-01,306
2014-07-01,196
2014-08-01,226
2014-09-01,284
2014-10-01,255
2014-11-01,307
2014-12-01,251
2015-01-01,211
2015-02-01,267
2015-03-01,78
2015-04-01,282
2015-05-01,326
2015-06-01,191
2015-07-01,256
2015-08-01,164
2015-09-01,88
2015-10-01,351
2015-11-01,264
2015-12-01,234
2016-01-01,103
2016-02-01,257
2016-03-01,235
2016-04-01,174
2016-05-01,34
2016-06-01,285
2016-07-01,325
2016-08-01,175
2016-09-01,264
2016-10-01,140
2016-11-01,172
2016-12-01,180
2017-01-01,259
2017-02-01,200
2017-03-01,73
2017-04-01,175
2017-05-01,155
2017-06-01,239
2017-07-01,190
2017-08-01,221
2017-09-01,14
2017-10-01,271
2017-11-01,216
2017-12-01,175
2018-01-01,176
2018-02-01,324
2018-03-01,155
2018-04-01,175
2018-05-01,268
2018-06-01,248
2018-07-01,157
