DATE,TWEXB
1997-01-01,99.1754
1997-01-08,99.3082
1997-01-15,99.471
1997-01-22,99.9005
1997-01-29,100.8457
1997-02-05,101.2309
1997-02-12,101.7466
1997-02-19,102.2268
1997-02-26,101.9158
1997-03-05,102.3327
1997-03-12,102.6174
1997-03-19,102.686
1997-03-26,102.774
1997-04-02,102.5496
1997-04-09,103.1524
1997-04-16,103.6859
1997-04-23,103.5298
1997-04-30,103.8265
1997-05-07,103.6256
1997-05-14,102.6314
1997-05-21,101.6365
1997-05-28,101.9114
1997-06-04,102.2173
1997-06-11,101.9634
1997-06-18,101.9985
1997-06-25,102.1667
1997-07-02,102.2505
1997-07-09,102.2096
1997-07-16,102.8577
1997-07-23,103.5776
1997-07-30,104.3942
1997-08-06,105.0858
1997-08-13,105.0288
1997-08-20,105.3107
1997-08-27,105.1228
1997-09-03,105.7041
1997-09-10,105.6395
1997-09-17,105.4286
1997-09-24,105.8006
1997-10-01,105.6838
1997-10-08,105.8445
1997-10-15,105.5036
1997-10-22,106.3421
1997-10-29,106.973
1997-11-05,106.9168
1997-11-12,107.2132
1997-11-19,108.0471
1997-11-26,108.9989
1997-12-03,110.1469
1997-12-10,111.3002
1997-12-17,112.7582
1997-12-24,113.111
1997-12-31,113.2726
1998-01-07,115.5170
1998-01-14,116.4689
1998-01-21,115.8652
1998-01-28,115.9597
1998-02-04,115.3846
1998-02-11,113.907
1998-02-18,114.6928
1998-02-25,114.6135
1998-03-04,114.078
1998-03-11,114.9817
1998-03-18,114.1911
1998-03-25,113.7959
1998-04-01,113.9207
1998-04-08,114.7238
1998-04-15,113.568
1998-04-22,113.6885
1998-04-29,113.6765
1998-05-06,113.5728
1998-05-13,114.3406
1998-05-20,115.3328
1998-05-27,115.3287
1998-06-03,116.3452
1998-06-10,116.8868
1998-06-17,118.3617
1998-06-24,116.9879
1998-07-01,117.8583
1998-07-08,117.9295
1998-07-15,117.9554
1998-07-22,117.2925
1998-07-29,117.5409
1998-08-05,118.0892
1998-08-12,119.1539
1998-08-19,119.5316
1998-08-26,120.2042
1998-09-02,120.1102
1998-09-09,118.9713
1998-09-16,117.7525
1998-09-23,118.2142
1998-09-30,117.6627
1998-10-07,117.0846
1998-10-14,114.7468
1998-10-21,114.141
1998-10-28,114.4952
1998-11-04,114.1829
1998-11-11,114.9899
1998-11-18,115.3947
1998-11-25,115.203
1998-12-02,115.2262
1998-12-09,114.6735
1998-12-16,113.9108
1998-12-23,114.1194
1998-12-30,114.3757
1999-01-06,113.2987
1999-01-13,113.6538
1999-01-20,114.8130
1999-01-27,115.2024
1999-02-03,115.6393
1999-02-10,115.2485
1999-02-17,115.6087
1999-02-24,117.0395
1999-03-03,117.8312
1999-03-10,118.0523
1999-03-17,117.2124
1999-03-24,116.8243
1999-03-31,117.2938
1999-04-07,117.3082
1999-04-14,117.0272
1999-04-21,116.7518
1999-04-28,116.5544
1999-05-05,116.1724
1999-05-12,115.9008
1999-05-19,116.6132
1999-05-26,117.1692
1999-06-02,117.8232
1999-06-09,117.4730
1999-06-16,116.9053
1999-06-23,117.1714
1999-06-30,117.2133
1999-07-07,117.4246
1999-07-14,118.0227
1999-07-21,117.4989
1999-07-28,116.8519
1999-08-04,116.0945
1999-08-11,116.2256
1999-08-18,116.4182
1999-08-25,116.2179
1999-09-01,116.2957
1999-09-08,115.9880
1999-09-15,115.5652
1999-09-22,115.5057
1999-09-29,115.4575
1999-10-06,115.0310
1999-10-13,115.2211
1999-10-20,115.1040
1999-10-27,115.0233
1999-11-03,115.1532
1999-11-10,115.2965
1999-11-17,115.3363
1999-11-24,115.4213
1999-12-01,115.7143
1999-12-08,115.6089
1999-12-15,115.5951
1999-12-22,115.3637
1999-12-29,115.1468
2000-01-05,114.7210
2000-01-12,115.0464
2000-01-19,115.1842
2000-01-26,115.2346
2000-02-02,116.5349
2000-02-09,116.4241
2000-02-16,116.5180
2000-02-23,116.6864
2000-03-01,116.9987
2000-03-08,116.9158
2000-03-15,116.5741
2000-03-22,116.7730
2000-03-29,116.5319
2000-04-05,116.4353
2000-04-12,116.7694
2000-04-19,117.2714
2000-04-26,117.7986
2000-05-03,119.0757
2000-05-10,119.8619
