,footnotes,period,periodName,value,year,date,,,Date,Emp,,,,Date,Emp
200,[{}],M04,April,16772,1993,April 1993,,04,4/1/1993,16772,,,,9/1/2006,14125
201,[{}],M03,March,16795,1993,March 1993,,03,3/1/1993,16795,,,,10/1/2006,14075
202,[{}],M02,February,16805,1993,February 1993,,02,2/1/1993,16805,,,,11/1/2006,14041
203,[{}],M01,January,16791,1993,January 1993,,01,1/1/1993,16791,,,,12/1/2006,14015
204,[{}],M12,December,16769,1992,December 1992,,12,12/1/1992,16769,,,,1/1/2007,14008
205,[{}],M11,November,16758,1992,November 1992,,11,11/1/1992,16758,,,,2/1/2007,13997
206,[{}],M10,October,16751,1992,October 1992,,10,10/1/1992,16751,,,,3/1/2007,13970
207,[{}],M09,September,16761,1992,September 1992,,09,9/1/1992,16761,,,,4/1/2007,13945
208,[{}],M08,August,16783,1992,August 1992,,08,8/1/1992,16783,,,,5/1/2007,13929
209,[{}],M07,July,16819,1992,July 1992,,07,7/1/1992,16819,,,,6/1/2007,13911
210,[{}],M06,June,16826,1992,June 1992,,06,6/1/1992,16826,,,,7/1/2007,13889
211,[{}],M05,May,16835,1992,May 1992,,05,5/1/1992,16835,,,,8/1/2007,13828
212,[{}],M04,April,16831,1992,April 1992,,04,4/1/1992,16831,,,,9/1/2007,13790
213,[{}],M03,March,16805,1992,March 1992,,03,3/1/1992,16805,,,,10/1/2007,13764
214,[{}],M02,February,16829,1992,February 1992,,02,2/1/1992,16829,,,,11/1/2007,13757
215,[{}],M01,January,16839,1992,January 1992,,01,1/1/1992,16839,,,,12/1/2007,13746
216,[{}],M12,December,16916,1991,December 1991,,12,12/1/1991,16916,,,,1/1/2008,13725
217,[{}],M11,November,16961,1991,November 1991,,11,11/1/1991,16961,,,,2/1/2008,13696
218,[{}],M10,October,16999,1991,October 1991,,10,10/1/1991,16999,,,,3/1/2008,13659
219,[{}],M09,September,17010,1991,September 1991,,09,9/1/1991,17010,,,,4/1/2008,13599
220,[{}],M08,August,17025,1991,August 1991,,08,8/1/1991,17025,,,,5/1/2008,13564
221,[{}],M07,July,17015,1991,July 1991,,07,7/1/1991,17015,,,,6/1/2008,13504
222,[{}],M06,June,17044,1991,June 1991,,06,6/1/1991,17044,,,,7/1/2008,13430
223,[{}],M05,May,17070,1991,May 1991,,05,5/1/1991,17070,,,,8/1/2008,13358
224,[{}],M04,April,17093,1991,April 1991,,04,4/1/1991,17093,,,,9/1/2008,13275
225,[{}],M03,March,17140,1991,March 1991,,03,3/1/1991,17140,,,,10/1/2008,13147
226,[{}],M02,February,17211,1991,February 1991,,02,2/1/1991,17211,,,,11/1/2008,13034
227,[{}],M01,January,17330,1991,January 1991,,01,1/1/1991,17330,,,,12/1/2008,12850
228,[{}],M12,December,17395,1990,December 1990,,12,12/1/1990,17395,,,,1/1/2009,12561
229,[{}],M11,November,17428,1990,November 1990,,11,11/1/1990,17428,,,,2/1/2009,12380
230,[{}],M10,October,17577,1990,October 1990,,10,10/1/1990,17577,,,,3/1/2009,12208
231,[{}],M09,September,17609,1990,September 1990,,09,9/1/1990,17609,,,,4/1/2009,12030
232,[{}],M08,August,17649,1990,August 1990,,08,8/1/1990,17649,,,,5/1/2009,11862
233,[{}],M07,July,17704,1990,July 1990,,07,7/1/1990,17704,,,,6/1/2009,11726
234,[{}],M06,June,17776,1990,June 1990,,06,6/1/1990,17776,,,,7/1/2009,11668
235,[{}],M05,May,17797,1990,May 1990,,05,5/1/1990,17797,,,,8/1/2009,11626
236,[{}],M04,April,17845,1990,April 1990,,04,4/1/1990,17845,,,,9/1/2009,11591
237,[{}],M03,March,17868,1990,March 1990,,03,3/1/1990,17868,,,,10/1/2009,11538
238,[{}],M02,February,17893,1990,February 1990,,02,2/1/1990,17893,,,,11/1/2009,11509
239,[{}],M01,January,17797,1990,January 1990,,01,1/1/1990,17797,,,,12/1/2009,11475
0,"[{u'text': u'preliminary', u'code': u'P'}]",M05,May,12398,2017,May 2017,,05,5/1/2017,12398,,,,1/1/2010,11460
1,"[{u'text': u'preliminary', u'code': u'P'}]",M04,April,12399,2017,April 2017,,04,4/1/2017,12399,,,,2/1/2010,11453
2,[{}],M03,March,12388,2017,March 2017,,03,3/1/2017,12388,,,,3/1/2010,11453
3,[{}],M02,February,12377,2017,February 2017,,02,2/1/2017,12377,,,,4/1/2010,11489
4,[{}],M01,January,12355,2017,January 2017,,01,1/1/2017,12355,,,,5/1/2010,11525
5,[{}],M12,December,12343,2016,December 2016,,12,12/1/2016,12343,,,,6/1/2010,11545
6,[{}],M11,November,12325,2016,November 2016,,11,11/1/2016,12325,,,,7/1/2010,11561
7,[{}],M10,October,12325,2016,October 2016,,10,10/1/2016,12325,,,,8/1/2010,11553
8,[{}],M09,September,12330,2016,September 2016,,09,9/1/2016,12330,,,,9/1/2010,11563
9,[{}],M08,August,12342,2016,August 2016,,08,8/1/2016,12342,,,,10/1/2010,11562
10,[{}],M07,July,12359,2016,July 2016,,07,7/1/2016,12359,,,,11/1/2010,11585
11,[{}],M06,June,12347,2016,June 2016,,06,6/1/2016,12347,,,,12/1/2010,11595
12,[{}],M05,May,12335,2016,May 2016,,05,5/1/2016,12335,,,,1/1/2011,11621
13,[{}],M04,April,12356,2016,April 2016,,04,4/1/2016,12356,,,,2/1/2011,11654
14,[{}],M03,March,12355,2016,March 2016,,03,3/1/2016,12355,,,,3/1/2011,11675
15,[{}],M02,February,12375,2016,February 2016,,02,2/1/2016,12375,,,,4/1/2011,11704
16,[{}],M01,January,12387,2016,January 2016,,01,1/1/2016,12387,,,,5/1/2011,11713
17,[{}],M12,December,12359,2015,December 2015,,12,12/1/2015,12359,,,,6/1/2011,11727
18,[{}],M11,November,12346,2015,November 2015,,11,11/1/2015,12346,,,,7/1/2011,11746
19,[{}],M10,October,12353,2015,October 2015,,10,10/1/2015,12353,,,,8/1/2011,11764
20,[{}],M09,September,12346,2015,September 2015,,09,9/1/2015,12346,,,,9/1/2011,11769
21,[{}],M08,August,12347,2015,August 2015,,08,8/1/2015,12347,,,,10/1/2011,11780
22,[{}],M07,July,12352,2015,July 2015,,07,7/1/2015,12352,,,,11/1/2011,11770
23,[{}],M06,June,12338,2015,June 2015,,06,6/1/2015,12338,,,,12/1/2011,11802
24,[{}],M05,May,12337,2015,May 2015,,05,5/1/2015,12337,,,,1/1/2012,11838
25,[{}],M04,April,12321,2015,April 2015,,04,4/1/2015,12321,,,,2/1/2012,11860
26,[{}],M03,March,12319,2015,March 2015,,03,3/1/2015,12319,,,,3/1/2012,11898
27,[{}],M02,February,12306,2015,February 2015,,02,2/1/2015,12306,,,,4/1/2012,11916
28,[{}],M01,January,12299,2015,January 2015,,01,1/1/2015,12299,,,,5/1/2012,11927
29,[{}],M12,December,12291,2014,December 2014,,12,12/1/2014,12291,,,,6/1/2012,11936
30,[{}],M11,November,12275,2014,November 2014,,11,11/1/2014,12275,,,,7/1/2012,11964
31,[{}],M10,October,12252,2014,October 2014,,10,10/1/2014,12252,,,,8/1/2012,11960
32,[{}],M09,September,12225,2014,September 2014,,09,9/1/2014,12225,,,,9/1/2012,11954
33,[{}],M08,August,12208,2014,August 2014,,08,8/1/2014,12208,,,,10/1/2012,11961
34,[{}],M07,July,12184,2014,July 2014,,07,7/1/2014,12184,,,,11/1/2012,11950
35,[{}],M06,June,12171,2014,June 2014,,06,6/1/2014,12171,,,,12/1/2012,11960
36,[{}],M05,May,12150,2014,May 2014,,05,5/1/2014,12150,,,,1/1/2013,11979
37,[{}],M04,April,12142,2014,April 2014,,04,4/1/2014,12142,,,,2/1/2013,12000
38,[{}],M03,March,12125,2014,March 2014,,03,3/1/2014,12125,,,,3/1/2013,12002
39,[{}],M02,February,12110,2014,February 2014,,02,2/1/2014,12110,,,,4/1/2013,12005
40,[{}],M01,January,12088,2014,January 2014,,01,1/1/2014,12088,,,,5/1/2013,12003
41,[{}],M12,December,12083,2013,December 2013,,12,12/1/2013,12083,,,,6/1/2013,12003
42,[{}],M11,November,12076,2013,November 2013,,11,11/1/2013,12076,,,,7/1/2013,11980
43,[{}],M10,October,12054,2013,October 2013,,10,10/1/2013,12054,,,,8/1/2013,12016
44,[{}],M09,September,12033,2013,September 2013,,09,9/1/2013,12033,,,,9/1/2013,12033
45,[{}],M08,August,12016,2013,August 2013,,08,8/1/2013,12016,,,,10/1/2013,12054
46,[{}],M07,July,11980,2013,July 2013,,07,7/1/2013,11980,,,,11/1/2013,12076
47,[{}],M06,June,12003,2013,June 2013,,06,6/1/2013,12003,,,,12/1/2013,12083
48,[{}],M05,May,12003,2013,May 2013,,05,5/1/2013,12003,,,,1/1/2014,12088
49,[{}],M04,April,12005,2013,April 2013,,04,4/1/2013,12005,,,,2/1/2014,12110
50,[{}],M03,March,12002,2013,March 2013,,03,3/1/2013,12002,,,,3/1/2014,12125
51,[{}],M02,February,12000,2013,February 2013,,02,2/1/2013,12000,,,,4/1/2014,12142
52,[{}],M01,January,11979,2013,January 2013,,01,1/1/2013,11979,,,,5/1/2014,12150
53,[{}],M12,December,11960,2012,December 2012,,12,12/1/2012,11960,,,,6/1/2014,12171
54,[{}],M11,November,11950,2012,November 2012,,11,11/1/2012,11950,,,,7/1/2014,12184
55,[{}],M10,October,11961,2012,October 2012,,10,10/1/2012,11961,,,,8/1/2014,12208
56,[{}],M09,September,11954,2012,September 2012,,09,9/1/2012,11954,,,,9/1/2014,12225
57,[{}],M08,August,11960,2012,August 2012,,08,8/1/2012,11960,,,,10/1/2014,12252
58,[{}],M07,July,11964,2012,July 2012,,07,7/1/2012,11964,,,,11/1/2014,12275
59,[{}],M06,June,11936,2012,June 2012,,06,6/1/2012,11936,,,,12/1/2014,12291
60,[{}],M05,May,11927,2012,May 2012,,05,5/1/2012,11927,,,,1/1/2015,12299
61,[{}],M04,April,11916,2012,April 2012,,04,4/1/2012,11916,,,,2/1/2015,12306
62,[{}],M03,March,11898,2012,March 2012,,03,3/1/2012,11898,,,,3/1/2015,12319
63,[{}],M02,February,11860,2012,February 2012,,02,2/1/2012,11860,,,,4/1/2015,12321
64,[{}],M01,January,11838,2012,January 2012,,01,1/1/2012,11838,,,,5/1/2015,12337
65,[{}],M12,December,11802,2011,December 2011,,12,12/1/2011,11802,,,,6/1/2015,12338
66,[{}],M11,November,11770,2011,November 2011,,11,11/1/2011,11770,,,,7/1/2015,12352
67,[{}],M10,October,11780,2011,October 2011,,10,10/1/2011,11780,,,,8/1/2015,12347
68,[{}],M09,September,11769,2011,September 2011,,09,9/1/2011,11769,,,,9/1/2015,12346
69,[{}],M08,August,11764,2011,August 2011,,08,8/1/2011,11764,,,,10/1/2015,12353
70,[{}],M07,July,11746,2011,July 2011,,07,7/1/2011,11746,,,,11/1/2015,12346
71,[{}],M06,June,11727,2011,June 2011,,06,6/1/2011,11727,,,,12/1/2015,12359
72,[{}],M05,May,11713,2011,May 2011,,05,5/1/2011,11713,,,,1/1/2016,12387
73,[{}],M04,April,11704,2011,April 2011,,04,4/1/2011,11704,,,,2/1/2016,12375
74,[{}],M03,March,11675,2011,March 2011,,03,3/1/2011,11675,,,,3/1/2016,12355
75,[{}],M02,February,11654,2011,February 2011,,02,2/1/2011,11654,,,,4/1/2016,12356
76,[{}],M01,January,11621,2011,January 2011,,01,1/1/2011,11621,,,,5/1/2016,12335
77,[{}],M12,December,11595,2010,December 2010,,12,12/1/2010,11595,,,,6/1/2016,12347
78,[{}],M11,November,11585,2010,November 2010,,11,11/1/2010,11585,,,,7/1/2016,12359
79,[{}],M10,October,11562,2010,October 2010,,10,10/1/2010,11562,,,,8/1/2016,12342
80,[{}],M09,September,11563,2010,September 2010,,09,9/1/2010,11563,,,,9/1/2016,12330
81,[{}],M08,August,11553,2010,August 2010,,08,8/1/2010,11553,,,,10/1/2016,12325
82,[{}],M07,July,11561,2010,July 2010,,07,7/1/2010,11561,,,,11/1/2016,12325
83,[{}],M06,June,11545,2010,June 2010,,06,6/1/2010,11545,,,,12/1/2016,12343
84,[{}],M05,May,11525,2010,May 2010,,05,5/1/2010,11525,,,,1/1/2017,12355
85,[{}],M04,April,11489,2010,April 2010,,04,4/1/2010,11489,,,,2/1/2017,12377
86,[{}],M03,March,11453,2010,March 2010,,03,3/1/2010,11453,,,,3/1/2017,12388
87,[{}],M02,February,11453,2010,February 2010,,02,2/1/2010,11453,,,,4/1/2017,12399
88,[{}],M01,January,11460,2010,January 2010,,01,1/1/2010,11460,,,,5/1/2017,12398
